transaction_id,transaction_date,country,product_id,product_name,category,price_per_unit,quantity_purchased,cost_price,discount_applied,payment_method,customer_age_group,customer_gender,store_location,sales_representative
GU6718,4/30/24,Canada,58764d37-5fb7-41fb-8314-e374a26a35e3,Samsung QLED TV,Electronics,1983.17,1,1983.17,0,Mobile Wallet,Young,Male,Vancouver,Noah Gagnon
cF0738,3/25/24,Canada,c92dceae-1b7e-4782-8d92-3f1fe5f27a1f,The North Face Jacket,Apparel,165.59,10,1655.9,0,Cash,Adult,Female,Montreal,Benjamin Brown
ON0391,,Canada,,Yeti Tumbler,Outdoor,47.71,8,381.68,0,Credit Card,Young,Male,Toronto,Olivia Johnson
yo3387,9/15/24,Canada,6711b4a5-f4f2-40d6-b125-3da75f4a2aa0,Samsung QLED TV,Electronics,1180.07,7,8260.49,0.15,Online Payment,Young,Female,Vancouver,Emma Smith
Ku9319,5/5/24,Canada,60baf209-bc79-4c7b-bfb6-c574f9084e40,Coca-Cola Can,Beverages,1.29,10,12.9,0.1,Cash,Senior,Male,Ottawa,Sophie Wilson
yz0285,,Canada,b64a1a66-532c-402a-b066-1dc9ce0df798,iPhone 14,Electronics,846.08,3,2538.24,0.2,Online Payment,Young,Male,Vancouver,Lucas Campbell
yD3805,1/3/25,Canada,28d9a9dc-0a8b-43c9-9254-fce76d55cf6e,The North Face Jacket,Apparel,172.83,8,1382.64,0.1,Online Payment,Adult,Male,Ottawa,William Wilson
eP2067,9/13/24,,2b42ce8f-1200-47d0-890d-0d0a1b5e542e,Coca-Cola Can,Beverages,1.56,10,15.6,0.15,Debit Card,Young,Male,Calgary,Emma Martin
CD3638,6/23/24,Canada,cbaf9558-7a1c-4683-9a9a-eb5a8223c47d,Levi's 501 Jeans,Apparel,57.79,6,346.74,,Online Payment,Senior,Female,Montreal,
uM8935,10/30/24,Canada,a8815e57-54bd-40ff-b682-73b349539fd0,iPhone 14,Electronics,1018.87,8,8150.96,0.05,Debit Card,,Female,Toronto,Olivia Campbell
Po7786,4/25/24,Canada,fe65486c-dfb2-4f47-bc60-3d1096591d39,iPhone 14,Electronics,,9,7978.59,0.15,Cash,Senior,Female,Calgary,Sophie Martin
