transaction_id,transaction_date,country,product_id,product_name,category,price_per_unit,quantity_purchased,cost_price,discount_applied,payment_method,customer_age_group,customer_gender,store_location,sales_representative
wj9253,12/29/24,United Kingdom,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.05,1,0.67,0,Cash,Adult,Female,Manchester,George Jones
Kw8819,6/18/24,United Kingdom,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,964.5,2,1278.74,0.1,Debit Card,Senior,Female,Liverpool,Oliver Brown
pg2970,9/21/24,United Kingdom,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,937.88,1,761.26,0.15,Debit Card,Young,Male,Glasgow,Oliver Smith
iX0917,7/3/24,United Kingdom,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,73.82,3,138.75,0.05,Debit Card,Young,Female,London,Emily Brown
KT2756,12/1/24,United Kingdom,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1000.77,2,1237.72,0.15,Credit Card,Adult,Male,Manchester,George Brown
qG7504,3/4/25,United Kingdom,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,318.31,1,212.68,0.15,Credit Card,Adult,Male,London,George Taylor
Vf7865,5/26/24,United Kingdom,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,54.61,2,75.58,0.2,Debit Card,Adult,Female,Manchester,George Jones
NL1721,8/4/24,United Kingdom,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.23,22,18.92,0.1,Debit Card,Adult,Female,London,Harry Smith
OA1249,1/21/25,United Kingdom,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,58.18,4,177.56,0.05,Online Payment,Senior,Female,Liverpool,George Wilson
oS1160,3/17/25,United Kingdom,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.03,7,16.38,0.05,Debit Card,Senior,Female,London,Harry Jones
eL1545,12/8/24,United Kingdom,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,2.56,,,0.15,Mobile Wallet,Young,Male,Birmingham,Jack Jones
JU9064,12/10/24,United Kingdom,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1650.44,1,1227.34,0.1,Debit Card,Adult,Female,Birmingham,Emily Taylor
qf0195,7/4/24,United Kingdom,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,2300.9,1,1440.17,0.1,Online Payment,Adult,Female,Liverpool,Emily Smith
Sz7429,2/16/25,United Kingdom,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,137.91,2,180.96,0.1,Debit Card,Senior,Male,Glasgow,George Wilson
GP4617,12/27/24,United Kingdom,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,4.25,5,15.2,0.05,Credit Card,Senior,Male,London,Emily Taylor
yS1631,4/6/24,United Kingdom,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,964.89,2,1432.42,0,Online Payment,Adult,Female,Manchester,George Jones
ji9404,11/11/24,United Kingdom,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,165.06,1,121.74,0.2,Mobile Wallet,Adult,Female,Manchester,George Brown
nA7481,6/22/24,United Kingdom,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,30.33,1,20.41,0,Debit Card,Young,Male,Manchester,Emily Jones
BS1092,3/1/25,United Kingdom,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,31.34,4,98.32,0.2,Debit Card,Senior,Male,Liverpool,Oliver Smith
MZ5674,5/16/24,United Kingdom,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1096.05,1,720.4,0.2,Online Payment,Senior,Male,Birmingham,Jack Jones
gT6020,4/29/24,United Kingdom,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,2.62,8,17.76,0,Mobile Wallet,Senior,Female,Manchester,Emily Wilson
xR9037,9/7/24,United Kingdom,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,31.76,1,21.12,0.15,Online Payment,Adult,Male,Manchester,Harry Wilson
xr6184,3/21/24,United Kingdom,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.32,,,0.15,Debit Card,Senior,Female,Manchester,George Jones
Xx5755,12/22/24,United Kingdom,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,351.76,2,536.98,0.1,Online Payment,Adult,Female,Manchester,George Smith
UP5044,12/30/24,United Kingdom,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,121.51,1,76.41,0.15,Cash,Senior,Female,Manchester,Emily Wilson
Hp5493,6/1/24,United Kingdom,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,,2,,0.1,Credit Card,Senior,Male,Glasgow,Oliver Brown
fE9813,1/9/25,United Kingdom,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,151.74,3,309.81,0.2,Credit Card,Young,Female,London,Oliver Brown
eO6871,12/24/24,United Kingdom,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,149.76,1,106.42,0.05,Online Payment,Senior,Female,Manchester,Jack Taylor
He9688,7/26/24,United Kingdom,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,396.43,2,585.1,0.1,Mobile Wallet,Senior,Female,Birmingham,Harry Wilson
uA0717,9/3/24,United Kingdom,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,720.93,1,546.75,0.05,Cash,Senior,Female,Birmingham,George Taylor
