transaction_id,transaction_date,country,product_id,product_name,category,price_per_unit,quantity_purchased,cost_price,discount_applied,payment_method,customer_age_group,customer_gender,store_location,sales_representative
ME9492,3/22/24,USA,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,342.93,1,208.94,0.1,Credit Card,Adult,Male,Phoenix,Mr. Shawn Rogers
CO9664,10/10/24,USA,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,162.47,1,117.84,0,Credit Card,Adult,Female,Houston,Alexis Robles
eN8799,4/26/24,USA,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,4.54,8,29.76,0.1,Debit Card,Young,Female,Houston,Jamie Mcgee
pC5841,9/4/24,USA,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,54.3,3,111.99,0.1,Credit Card,Senior,Female,Phoenix,Kerry Valdez
Av9679,4/26/24,USA,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1923.76,1,1225.2,0,Mobile Wallet,Adult,Male,Houston,Jennifer Rios
tM9992,7/17/24,USA,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,137.6,1,113.12,0.2,Credit Card,Young,Female,Houston,Kathryn Moss
lv8139,9/13/24,USA,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1008.73,2,1429.34,0.15,Credit Card,Adult,Male,Chicago,Michael Coleman
ZM8975,12/13/24,USA,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,150.03,3,338.46,0,Mobile Wallet,Young,Female,New York,Amy Hebert
bL0232,3/20/25,USA,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,966.72,1,656.09,0.05,Credit Card,Senior,Female,Houston,Heather Garcia
YK3012,9/13/24,USA,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.46,24,23.76,0,Debit Card,Senior,Female,New York,Ashley Hernandez
Nk0148,1/13/25,USA,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1365.36,1,901.04,0.05,Mobile Wallet,Senior,Female,Phoenix,Victoria Anderson
Iy0429,8/20/24,USA,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,53.53,2,81.64,0,Credit Card,Young,Male,New York,Jamie Frank
Kk9165,3/9/25,USA,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,257.49,2,358.34,0.2,Online Payment,Young,Male,Los Angeles,Alexandra Washington
Qz1457,7/23/24,USA,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,2073.32,1,1668.53,0,Credit Card,Young,Female,Houston,Lisa Johnson
lw7151,9/26/24,USA,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,74.48,,,0.15,Cash,Young,Female,Houston,Mark Reynolds
pd7319,3/24/24,USA,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1289.23,1,902.94,0.15,Debit Card,Adult,Male,Chicago,Lindsay Reed DVM
YQ0862,5/15/24,USA,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,47.39,1,38.2,0.15,Debit Card,Adult,Male,Chicago,Christopher Hernandez MD
wd2846,7/3/24,USA,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1432.79,1,1070.99,0,Online Payment,Young,Female,Houston,Julie Mullen
Pp0425,9/3/24,USA,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1782.63,1,1082.11,0.15,Credit Card,Young,Male,Houston,Charles Watkins
tZ1323,12/24/24,USA,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,218.5,2,351.8,0,Online Payment,Adult,Male,Chicago,Patrick Campbell
WQ4592,11/21/24,USA,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,,2,,0.1,Mobile Wallet,Young,Male,Houston,Carlos Bennett
re5982,4/28/24,USA,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1214.53,,,0.1,Online Payment,Adult,Male,Chicago,Vincent Russo
AT3383,8/17/24,USA,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.48,2,2.18,0,Debit Card,Adult,Male,Chicago,Drew Lopez
KW7736,6/16/24,USA,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1088.2,1,725.39,0.2,Debit Card,Adult,Female,New York,Kathy Bell
NH7542,5/21/24,USA,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,39.25,4,107.96,0.1,Debit Card,Senior,Female,New York,Dylan Sanchez
jF7021,5/27/24,USA,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,78.28,1,50.23,0.15,Cash,Young,Female,Houston,Joshua Rodriguez
PO4732,7/29/24,USA,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,46.11,4,111.56,,Debit Card,Senior,Female,Houston,Timothy Ramirez
XS0894,10/27/24,USA,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,139.52,1,96.62,0.2,Cash,Senior,Female,New York,Wesley Fox
cv4260,9/29/24,USA,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,991.8,2,1653.18,,Mobile Wallet,Young,Male,Chicago,Kelsey Harris
uP4884,6/1/24,USA,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,244.45,2,372.9,0,Debit Card,Adult,Male,Houston,Charles Carter
Wn3420,10/3/24,USA,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,174.79,1,136.06,0,Debit Card,Young,Female,New York,Joseph Hanson
HR8763,1/16/25,USA,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,393.65,2,633.32,0.15,Mobile Wallet,Adult,Female,New York,John Ruiz
zh5482,10/14/24,USA,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1940.99,1,1338.2,0.1,Mobile Wallet,Adult,Female,Houston,Paul Calhoun
Ke8886,1/31/25,USA,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1479.74,1,1154.61,0.15,Cash,Adult,Male,Los Angeles,Jessica Hayes
mo4453,8/17/24,USA,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,,1,,0.05,Credit Card,Young,Male,Los Angeles,Richard Stewart
qR6186,3/23/24,USA,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,2163.34,1,1701.5,0.05,Cash,Young,Male,Chicago,Jessica Davis
XO5037,11/27/24,USA,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.73,5,11.55,0.05,Mobile Wallet,Adult,Male,New York,Grace Mclean
xL4729,4/19/24,USA,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.99,2,5.12,0.05,Debit Card,Senior,Male,Los Angeles,Larry Schroeder
Xi0357,2/28/25,USA,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,816.71,1,685.89,0.2,Credit Card,Senior,Female,Phoenix,Stephanie Perkins
nD6167,3/20/25,USA,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,170.65,1,134.81,0.15,Online Payment,Young,Male,Los Angeles,William Mcmillan
bt1569,8/6/24,USA,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1319.59,1,870.07,0.05,Debit Card,Young,Male,Los Angeles,Albert Richard
GL5476,12/27/24,USA,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,194.62,2,288.08,0.05,Credit Card,Adult,Female,Houston,Kevin King
LV1304,8/31/24,USA,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.35,23,22.54,0.05,Debit Card,Adult,Female,Houston,Samantha Norman
zV5770,5/27/24,USA,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,165.82,2,278.44,0.15,Cash,Senior,Male,Phoenix,Aaron Carroll
ak0138,3/1/25,USA,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,162.34,1,118.13,0.05,Cash,Senior,Male,Chicago,Stephanie Dean
QP4940,4/5/24,USA,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,2.82,6,14.34,0.2,Mobile Wallet,Senior,Male,Phoenix,Laura Gibson
JO0532,7/1/24,USA,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,2001.58,1,1345.35,0,Debit Card,Young,Male,New York,Robert Mason
eh5612,6/19/24,USA,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1094.74,,,0.2,Mobile Wallet,Senior,Female,New York,Dawn Sharp
XV5595,3/12/25,USA,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,362.03,1,285.91,0.1,Online Payment,Adult,Female,Houston,Timothy Miller
XP1019,7/23/24,USA,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,193.18,1,132.8,0.05,Online Payment,Young,Male,Phoenix,Jennifer Lindsey
kV3650,12/18/24,USA,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,60,3,121.92,0.1,Mobile Wallet,Young,Male,Los Angeles,Timothy Martinez
lU3209,12/13/24,USA,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,141.8,1,114.34,0.1,Online Payment,Adult,Female,New York,Cassandra Rich
HF8851,4/4/24,USA,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.04,7,12.88,0.05,Online Payment,Adult,Male,Phoenix,William Dominguez
Fr9364,6/26/24,USA,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,26.37,4,63.48,0.2,Mobile Wallet,Senior,Male,New York,Penny Sanchez
cr9683,10/1/24,USA,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,961.38,1,696.77,,Cash,Senior,Female,Houston,Amanda Hicks
sE9666,7/15/24,USA,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,78.17,4,265.68,0.05,Debit Card,Adult,Male,Chicago,Meagan Mccullough
hV8775,11/7/24,USA,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1505.2,1,1208.25,0.15,Mobile Wallet,Adult,Female,Phoenix,Holly Christensen
ZV3685,6/27/24,USA,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1086.74,2,1392.56,0.1,Debit Card,Young,Female,Los Angeles,John Davis MD
jV8387,9/28/24,USA,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,,1,,0.15,Credit Card,Adult,Female,Los Angeles,Kristy Cervantes
kG2845,7/22/24,USA,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.2,21,18.48,0.15,Mobile Wallet,Adult,Male,New York,Matthew Johnson
eO3750,1/14/25,USA,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,72.92,3,161.28,0,Mobile Wallet,Adult,Female,New York,Derek Lowery
JK0365,5/15/24,USA,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,948.74,2,1588,0.15,Mobile Wallet,Young,Male,Phoenix,Jose Greene
KR9649,12/14/24,USA,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,765.27,1,611.57,0.2,Online Payment,Young,Male,New York,April French
ei3820,2/4/25,USA,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,39.18,2,48.46,0.2,Online Payment,Adult,Male,New York,Michelle Case
Gf4104,1/30/25,USA,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,778.85,1,517.17,0.2,Debit Card,Senior,Male,Chicago,Vanessa Hudson
nx2940,9/3/24,USA,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,984.92,1,791.4,0.15,Online Payment,Young,Male,Chicago,Gabriel Rich
fI2306,6/20/24,USA,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,134.15,1,107.14,0,Cash,Young,Female,New York,Jennifer Nelson
Gm4720,11/27/24,USA,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,54.38,3,113.58,0.05,Credit Card,Adult,Male,Los Angeles,Catherine Martin
YA6955,2/12/25,USA,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1438.27,,,0.05,Credit Card,Senior,Female,New York,Kristine Lopez
