transaction_id,transaction_date,country,product_id,product_name,category,price_per_unit,quantity_purchased,cost_price,discount_applied,payment_method,customer_age_group,customer_gender,store_location,sales_representative,total_amount,profit
WN3190,2024-10-28,Canada,30ce3a29-475a-4b31-b3b3-3799ab80e5a0,Nike Air Max,Footwear,157.15,3,365.43,0.1,Debit Card,Young,Male,Montreal,Benjamin Campbell,424.31,58.88
CX6307,2024-03-19,Canada,30ce3a29-475a-4b31-b3b3-3799ab80e5a0,Nike Air Max,Footwear,153.49,2,236.62,0.2,Mobile Wallet,Adult,Female,Montreal,William Wilson,245.58,8.96
eR1402,2024-03-31,Canada,bb267597-e2b6-4639-93b3-12855a26e077,Doritos Chips,Snacks,3.68,2,5,0.15,Online Payment,Young,Male,Ottawa,Benjamin Campbell,6.26,1.26
FB8611,2024-12-22,Canada,30ce3a29-475a-4b31-b3b3-3799ab80e5a0,Nike Air Max,Footwear,171.43,2,208.26,0.05,Online Payment,Senior,Female,Montreal,William Smith,325.72,117.46
vJ5015,2024-05-28,Canada,468877b4-2e66-45c5-a2f1-bb14b5a87270,Apple MacBook Pro,Electronics,2272.73,1,1643.7,0,Mobile Wallet,Senior,Female,Toronto,Thomas Gagnon,2272.73,629.03
aY4472,2024-03-23,Canada,468877b4-2e66-45c5-a2f1-bb14b5a87270,Apple MacBook Pro,Electronics,2430.84,1,1654.57,0,Online Payment,Young,Female,Toronto,Noah Smith,2430.84,776.27
Oz4752,2024-08-13,Canada,30ce3a29-475a-4b31-b3b3-3799ab80e5a0,Nike Air Max,Footwear,139.45,2,232.76,0.1,Mobile Wallet,Senior,Male,Montreal,Sophie Wilson,251.01,18.25
jO0828,2024-12-19,Canada,bb267597-e2b6-4639-93b3-12855a26e077,Doritos Chips,Snacks,2.79,8,14.24,0.15,Cash,Young,Female,Vancouver,Sophie Campbell,18.97,4.73
Og6298,2024-09-15,Ecuador,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1868.3,1,1471.88,0.1,Credit Card,Adult,Male,Guayaquil,Ana Garcia,1681.47,209.59
ig8415,2024-11-16,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.28,7,16.17,0.05,Credit Card,Young,Female,Quito,Jose Lopez,21.81,5.64
Au4740,2024-09-20,Ecuador,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1285.95,1,927.65,0,Online Payment,Adult,Male,Machala,Luis Martinez,1285.95,358.30
xY9108,2024-09-30,Ecuador,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,25.76,3,64.59,0.05,Online Payment,Senior,Female,Guayaquil,Luis Garcia,73.42,8.83
kg4654,2024-12-27,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,52,3,95.94,0.15,Credit Card,Young,Male,Cuenca,Luis Garcia,132.60,36.66
fT0101,2024-02-15,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.06,24,20.88,0.05,Debit Card,Senior,Female,Santo Domingo,Carmen Ramirez,24.17,3.29
wk6572,2024-07-18,Ecuador,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,411.87,2,559.34,0.05,Mobile Wallet,Senior,Female,Santo Domingo,Luis Ramirez,782.55,223.21
Sq1047,2024-04-09,Ecuador,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,206.32,1,140.57,0.15,Cash,Senior,Female,Santo Domingo,Carmen Martinez,175.37,34.80
Ba8562,2024-08-17,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,75.13,4,188.88,0,Online Payment,Adult,Female,Cuenca,Maria Perez,300.52,111.64
CA3243,2024-04-01,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,162.27,1,120.42,0.15,Online Payment,Senior,Male,Santo Domingo,Carmen Lopez,137.93,17.51
kq6824,2024-01-16,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.18,3,7.41,0.05,Credit Card,Adult,Female,Cuenca,Luis Martinez,9.06,1.65
BH9342,2024-11-03,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.01,21,14.28,0.05,Debit Card,Young,Female,Machala,Ana Perez,20.15,5.87
Im4744,2024-07-15,Ecuador,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,44.46,4,122.44,0.2,Debit Card,Adult,Male,Quito,Jose Martinez,142.27,19.83
