transaction_id,transaction_date,country,product_id,product_name,category,price_per_unit,quantity_purchased,cost_price,discount_applied,payment_method,customer_age_group,customer_gender,store_location,sales_representative
CD0500,12/17/24,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.94,4,11,0,Credit Card,Senior,Male,Cuenca,Maria Martinez
OT7153,12/10/24,Ecuador,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1061.38,2,1778.58,0.1,Mobile Wallet,Senior,Male,Machala,Maria Ramirez
MZ2290,3/1/25,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.05,13,9.75,0,Cash,Adult,Male,Guayaquil,Ana Garcia
Pt0208,12/26/24,Ecuador,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,29.08,1,22.79,0.1,Debit Card,Young,Female,Guayaquil,Maria Ramirez
Pg3259,10/11/24,Ecuador,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,918.88,2,1398.38,0.05,Debit Card,Adult,Female,Santo Domingo,Ana Lopez
xZ8721,12/16/24,Ecuador,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,715.61,1,526.55,,Debit Card,Young,Female,Machala,Ana Martinez
oG5570,10/19/24,Ecuador,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,44.41,1,33.66,0,Cash,Senior,Female,Machala,Maria Ramirez
Vm7134,6/25/24,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,166.15,1,123.73,0.1,Credit Card,Senior,Male,Santo Domingo,Jose Martinez
bN4226,2/3/25,Ecuador,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,156.44,1,115.34,0.05,Mobile Wallet,Young,Male,Quito,Carmen Garcia
Pe6207,9/26/24,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,161.55,1,135.52,0.15,Mobile Wallet,Adult,Male,Santo Domingo,Jose Ramirez
CM5948,6/20/24,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,68.41,3,127.71,0.2,Mobile Wallet,Adult,Male,Quito,Ana Martinez
sg0429,11/18/24,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,62.26,3,147.51,0.1,Credit Card,Senior,Male,Guayaquil,Luis Lopez
LK9504,7/22/24,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.05,9,7.38,0.1,Debit Card,Adult,Male,Guayaquil,Ana Perez
zY8041,10/23/24,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,4.66,7,24.92,0.1,Online Payment,Adult,Female,Cuenca,Jose Martinez
Iq6638,10/27/24,Ecuador,492b33a7-ede7-4769-9cfb-ed92773d17e1,KitchenAid Mixer,Home Appliances,410,,,0.2,Online Payment,Young,Female,Machala,Maria Lopez
Vp1749,12/15/24,Ecuador,1f6a4984-9b41-4f75-9ead-85e3e7e5ae27,The North Face Jacket,Apparel,230.82,2,289.32,,Online Payment,Adult,Male,Cuenca,Maria Ramirez
XR7747,8/25/24,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.22,3,7.59,0.05,Debit Card,Senior,Male,Cuenca,Maria Garcia
Az1012,2/11/25,Ecuador,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,,2,,0,Cash,Senior,Male,Santo Domingo,Jose Martinez
Iz2522,5/19/24,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,62.78,,,0.1,Debit Card,Adult,Male,Santo Domingo,Jose Garcia
EK6799,11/16/24,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.66,4,9.2,,Debit Card,Adult,Female,Cuenca,Carmen Lopez
Gx9011,2/13/25,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,4.62,8,30.08,0.15,Online Payment,Senior,Male,Quito,Ana Perez
pR7492,6/8/24,Ecuador,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1303.76,1,1006.37,0.2,Credit Card,Young,Male,Santo Domingo,Maria Perez
TR4382,10/15/24,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.15,2,1.6,0.15,Cash,Adult,Female,Guayaquil,Luis Perez
uv1584,11/11/24,Ecuador,febceb70-e0c4-4d2e-9c19-bd5301e2c333,Levi's 501 Jeans,Apparel,50.9,2,78.16,0.2,Cash,Young,Male,Guayaquil,Maria Martinez
GU4334,7/27/24,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,128.77,3,274.17,0.15,Online Payment,Senior,Female,Cuenca,Carmen Garcia
nW9613,11/28/24,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.3,17,17.17,0.2,Debit Card,Adult,Male,Cuenca,Carmen Martinez
BA5847,6/8/24,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.37,13,13.65,0.1,Debit Card,Adult,Male,Machala,Jose Perez
wv0620,7/9/24,Ecuador,348773fc-88fb-45d8-8e64-7e11ed3b30dc,Coca-Cola Can,Beverages,1.37,19,21.66,0.15,Debit Card,Adult,Male,Guayaquil,Jose Martinez
UW9825,9/1/24,Ecuador,6ab425e6-dd99-4d5f-967e-03d84f39f9bf,Nike Air Max,Footwear,129.61,3,274.38,,Debit Card,Senior,Female,Cuenca,Luis Garcia
ZW7349,2/5/25,Ecuador,02f54f47-95d5-4c58-bba7-61e66cc857c6,Samsung QLED TV,Electronics,1371.89,1,953.06,0.1,Mobile Wallet,Young,Female,Guayaquil,Ana Martinez
mT5762,5/19/24,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,4.92,4,13.04,0.1,Online Payment,Young,Female,Santo Domingo,Carmen Lopez
gE3874,10/20/24,Ecuador,5e3d82df-d17f-40e9-b3d7-c68946529392,iPhone 14,Electronics,1002.48,1,654.5,0.2,Cash,Adult,Female,Guayaquil,Maria Garcia
yV9461,6/28/24,Ecuador,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,2488.26,1,1641.67,0.1,Online Payment,Senior,Male,Quito,Ana Ramirez
Fq9315,12/29/24,Ecuador,5d904f62-de3d-4d52-a904-c272d3f34318,Yeti Tumbler,Outdoor,32.2,3,78.45,0.1,Online Payment,Senior,Male,Santo Domingo,Carmen Lopez
Bo0085,7/18/24,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.95,2,5.5,0.15,Credit Card,Young,Female,Machala,Carmen Garcia
cY2957,5/7/24,Ecuador,b44dd01a-4794-4d53-a15f-96adc20f9cac,Apple MacBook Pro,Electronics,1512.65,1,1244.34,0.2,Debit Card,Senior,Male,Santo Domingo,Carmen Ramirez
DG9768,11/14/24,Ecuador,3901a68e-35e9-4226-b9a8-059acff44f5d,Doritos Chips,Snacks,3.33,4,9.28,0.2,Mobile Wallet,Young,Female,Cuenca,Ana Lopez
